,sent_no,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
1363,1363,-0.07200633146605229,-0.08996634816635002,-0.09384211672269784,-0.0594026039608739,0.024638981058800708,-0.09656175507607655,-0.008762314961238943,-0.07372793417554807,0.03569524966460787,0.004667031791600721,0.024578066500349344,-0.058335726706315094,-0.8994671590493346,-0.9572656289494789,-1.4531927206126416,-1.1274539854217174,-1.4097945130453575,-1.4858389528988887,-0.3060251120031264,-1.0517250776608749,-1.474271678500417,-0.8314346248652905,-0.9496159668096058,-0.771272494524119,-0.40252861689405905,-0.4207495973720372,-1.196637875647092,-0.8078470313041799,-0.09485104370577371,0.49454743676122187,-0.7476306595977635
1364,1364,-0.07168912865628688,-0.08963891714034242,-0.1044946952047699,-0.06388017888536686,0.02658852013373068,-0.08900062298496626,-0.0018729422468559233,-0.0609926004255482,0.030285864606975778,0.01362047005077448,0.021969044389191787,-0.05701486705271134,-0.8966263159305552,-0.9543619497073125,-1.5373842511539044,-1.1318258040484412,-1.462341710395625,-1.3618094708594464,-0.172364926078133,-1.0478719943989987,-1.6557837362757808,-0.7157020699904245,-0.8627819501869273,-0.7723344256777614,-0.4030184838468727,-0.38843392496262447,-1.232589116547106,-0.7190537232750416,-0.09539744304411796,0.4320839149704256,-0.7795041444003878
1365,1365,-0.07295793989534849,-0.0909486412443728,-0.10617021893289041,-0.057260585580577644,0.02373744550212972,-0.08684348796182867,-0.005048943511387928,-0.06736532940473437,0.022912477291739966,0.004814244900548319,0.014444158252894534,-0.06424499043242257,-0.9187527570243857,-0.9769778017698425,-1.6078958985736909,-1.1606607619272868,-1.4544327083741615,-1.3388551109303783,-0.13116710577517068,-1.0632843274465031,-1.6557837362757808,-0.7349908291362355,-0.8338372779793678,-0.6896139714543171,-0.4048261780694743,-0.4406033168543852,-1.2303263461385074,-0.7186468985116063,-0.08194730372341451,0.36962039317962925,-0.770197779081405
1366,1366,-0.07295793989534849,-0.0909486412443728,-0.10617021893289041,-0.059933764639976427,0.027626422413259456,-0.08431116046938054,-0.005048943511387928,-0.06736532940473437,0.022912477291739966,0.004946151447709314,0.014444158252894534,-0.0680465889380542,-0.9187527570243857,-0.9769778017698425,-1.6078958985736909,-1.0891343883106523,-1.482360558673067,-1.309038307866588,-0.0717625786973958,-1.0632843274465031,-1.6557837362757808,-0.7349908291362355,-0.8048926057718083,-0.6064731793108838,-0.3170383144429109,-0.44281259387843713,-1.1378553530029512,-0.6266534099653903,-0.08215058464668407,0.36962039317962925,-0.6595408444982006
1367,1367,-0.07819178625647766,-0.09635125317349814,-0.10617021893289041,-0.05659229081572794,0.029507778126760534,-0.08431116046938054,-0.007011591934854834,-0.071225413942387,0.02335488053065412,0.004364502099818501,0.015385261027120923,-0.05974709784315413,-0.8828929802025065,-0.9403248486735992,-1.629295050949663,-1.0825366229167548,-1.4385288099195315,-1.3264583992060301,-0.028379646032830812,-1.1268602012674587,-1.6557837362757808,-0.7735683474278575,-0.8048926057718083,-0.6066921130700842,-0.2775106298155069,-0.3922483171909196,-1.0368836480502883,-0.5349921746410607,0.01573833178298546,0.36962039317962925,-0.5542541386938834
1368,1368,-0.07359234551487931,-0.09160350329638799,-0.101204085242315,-0.05051080845559571,0.03027294696057372,-0.07702364760756196,-0.007011591934854834,-0.07373989914907918,0.023763857747072535,0.004357749204912647,0.01687877622952062,-0.06480993313671735,-0.8556107505754282,-0.9124391680724828,-1.573919483247998,-1.0749367845361353,-1.4022639885080352,-1.2588402456650778,-0.028379646032830812,-1.0709904939702553,-1.5650277073880994,-0.7735683474278575,-0.7180585891491298,-0.5247305464470031,-0.276670707069869,-0.3515830509685188,-1.044917402614054,-0.45463652325962467,0.11039608388790494,0.49454743676122187,-0.5537255411876173
1369,1369,-0.06883430336839826,-0.08996634816634999,-0.09803154179897396,-0.04661242232730581,0.032280568158202384,-0.07439766270165901,-0.007011591934854834,-0.06729445994612702,0.029662567599261183,0.004360450362874989,0.01981541699253039,-0.06932029571109145,-0.7866190198990631,-0.8889332524141103,-1.527588959305383,-1.0458517750005771,-1.3837597639734769,-1.221124641574572,-0.028379646032830812,-1.0517250776608749,-1.5650277073880994,-0.7735683474278575,-0.6891139169415703,-0.5245364495961472,-0.27712581982094364,-0.3945414273575933,-1.1447850990713688,-0.45366643963721964,0.11025124487494746,0.49454743676122187,-0.5515858448776976
1370,1370,-0.07121332444163879,-0.09242208086140696,-0.10097567057130105,-0.04466322926316086,0.032217435416138585,-0.07696551707947358,-0.008249975021477925,-0.07061888182261755,0.029662567599261183,-0.001839607546685601,0.01981541699253039,-0.06550641041703799,-0.8164933156074562,-0.9194683325631577,-1.5677123700103304,-1.0266656199851845,-1.3378696231994633,-1.253787312836026,-0.0934540450296783,-1.0806232021249456,-1.61040572183194,-0.7928571065736685,-0.7180585891491298,-0.44178725775626976,-0.27136062049146853,-0.33285523239024956,-1.115276194453194,-0.43968898660709915,0.1113551746464559,0.619474480342815,-0.623441230524415
1371,1371,-0.07517835956370633,-0.09651496868650192,-0.10534039912785316,-0.047949011857005196,0.032386631164869555,-0.07953337145728812,-0.007274140858627489,-0.07313336702930974,0.02740631108079903,-0.0024820329487290917,0.016633988363547465,-0.060671081157259624,-0.8479674252234892,-0.9516386126302276,-1.6069587399400285,-1.0194722465988957,-1.3667992330089735,-1.3272783231742982,-0.07128843404931837,-1.1287867428983966,-1.7011617507196215,-0.7735683474278575,-0.7470032613566895,-0.4421957495411281,-0.26570321153676657,-0.3437716127317376,-1.1167775836819014,-0.5009664365936589,0.11131938461665244,0.619474480342815,-0.6277558737146567
1372,1372,-0.07216493287093499,-0.09340437393942974,-0.10283149471514431,-0.05730513856490095,0.032752801068839564,-0.07709554240609268,-0.0032268202355130162,-0.07585769946408603,0.024899359393618852,0.005302254105744634,0.012111236725372683,-0.05545490306713222,-0.8264755642878961,-0.9296713768959928,-1.6069871114758225,-1.0867687966693176,-1.4534972672485753,-1.3273014191706387,-0.025273885237008433,-1.0921824519105738,-1.6557837362757808,-0.6964133108446136,-0.7180585891491298,-0.3592240460169356,-0.18555490112979403,-0.3050240208570219,-1.0146260169104737,-0.49621932842061356,0.2093878196166069,0.6819380021336113,-0.5392640859419604
1373,1373,-0.07200633146605229,-0.09062121021836517,-0.09854483786246583,-0.05312829628459035,0.03442203076900629,-0.06264840740836232,0.00011508980431548453,-0.06780435189506827,0.02581225496598138,0.00395482647553008,0.014582585168207419,-0.03864758523318514,-0.8536661710304227,-0.9371983853258541,-1.6345665766508768,-1.0900099841176794,-1.4300858055994736,-1.189234383176094,-0.09313997718124403,-1.059431244184627,-1.5650277073880994,-0.6192582742613696,-0.5443905559037727,-0.44204096517350927,-0.20389982752414432,-0.29543233445985895,-1.023782524227694,-0.5863497944005374,0.20701739452110648,0.6819380021336113,-0.5839628109404447
1374,1374,-0.07501975815882363,-0.09373180496543732,-0.0990613508354372,-0.06025677377632044,0.026245078016903626,-0.07006613703795077,0.003736980659321873,-0.060274702013681486,0.02490287053043563,-0.004337278275863799,0.007888313538373793,-0.04329311467765746,-0.8458033347649323,-0.9291616323289246,-1.5982243295163188,-1.1244117482435023,-1.4706253810983465,-1.1943199541942016,-0.024066011259742625,-1.1153009514818304,-1.5650277073880994,-0.5806807559697476,-0.6601692447340108,-0.44211327104253884,-0.2275690590389841,-0.34959599105801,-0.9143530924847572,-0.4952082311368924,0.20719323300318562,0.6819380021336113,-0.5812999326906907
1375,1375,-0.08152241575901441,-0.10044414099859304,-0.10444864348106626,-0.06610435296875529,0.024315741419434066,-0.06789664712092942,0.0023961223463373348,-0.07185403524406006,0.024692202321428894,-0.009919221205041968,0.007635090966076455,-0.03562128295850183,-0.9467623269573324,-1.010129514034533,-1.6867678137887434,-1.1737678617361755,-1.5400542047699883,-1.2044473315406399,-0.25242235279179426,-1.1942891583502906,-1.6557837362757808,-0.5999695151155586,-0.6312245725264515,-0.5252733755395764,-0.25372960850923887,-0.4258437897615895,-1.0690727329671141,-0.5005375932472694,0.10905649662093474,0.5570109585520187,-0.7014166614735893
1376,1376,-0.08041220592483549,-0.09929813240756645,-0.09323671652426307,-0.05885335477013609,0.022924295784348035,-0.06269026142127784,0.008475704688557953,-0.07072932773213551,0.03951271082505287,-0.0009320184713389445,0.020039709305626905,-0.04465864543085594,-0.851223828633732,-0.9124778159959692,-1.474475538142714,-1.204246255476273,-1.394164209138159,-1.0703250932476636,-0.09506655141961455,-1.1808033669337241,-1.474271678500417,-0.5421032376781256,-0.5733352281113325,-0.5252093105681573,-0.27465612818948254,-0.4498359718006532,-1.0619805210723223,-0.504445515499969,0.1093585656444791,0.4320839149704256,-0.653048106441757
1377,1377,-0.07835038766136036,-0.09716983073851707,-0.08560186732953558,-0.04644534863609339,0.020979807328783167,-0.05520083010263577,0.012677272587353213,-0.06799671185414537,0.04347748651855967,-0.0009347196293012859,0.0312973326059396,-0.036560201467707804,-0.8572016193556778,-0.9185878284491685,-1.412154523869971,-1.2222202615877218,-1.3593794565589616,-0.988950477001291,-0.041025204510745414,-1.1557583257315294,-1.338137635168895,-0.4649482010948816,-0.4865012114886538,-0.6079753740257696,-0.2757178840725213,-0.5078404126172054,-1.060123141090567,-0.5130436732825377,0.011159115402390707,0.30715687138883296,-0.6123394460307043
1378,1378,-0.081205212949249,-0.10011670997258544,-0.0884464971945161,-0.05056649968599985,0.023472287985461773,-0.06235742158214658,0.015242657136265525,-0.06371601247774518,0.047016712429872855,0.008063737929244827,0.034433707999934345,-0.04199063254689903,-0.9266606553650729,-0.9895832170041055,-1.4788717934448614,-1.2422769586562128,-1.3851909727979856,-0.9929260507431297,-0.10170739446865439,-1.1904360750884144,-1.3835156496127357,-0.4070819236574486,-0.5733352281113325,-0.6911582868643098,-0.25422699227893225,-0.5617833861721034,-1.0213322817001271,-0.5137123126731001,-0.08518824254995942,0.30715687138883296,-0.6131902117617798
1379,1379,-0.07803318485159497,-0.09684239971250948,-0.0884464971945161,-0.05580147534398914,0.036970068238701026,-0.06475963722382819,0.018238586660256805,-0.059040468974818294,0.05796619259299803,0.008065538701219722,0.03560766053128986,-0.037795374835700626,-0.9514534769974973,-0.9876130208559545,-1.5768748201890075,-1.1462108342314534,-1.386348794280824,-0.9890220248053458,-0.009472535057121262,-1.1519052424696534,-1.3835156496127357,-0.3492156462200156,-0.602279900318892,-0.6909376572530251,-0.23412462077526927,-0.5608909387594316,-0.9297098717746429,-0.49410252095238244,-0.0851584326634901,0.30715687138883296,-0.564417153428329
1380,1380,-0.06629668089027503,-0.08472745175022839,-0.084319767280198,-0.038871341301130166,0.03603822896583943,-0.06256078032679842,0.022100091003907293,-0.051427984661293044,0.05622115759505889,0.008056084648351527,0.033124070768745933,-0.04395508236809217,-0.9433031947017664,-0.979282463859172,-1.5958346068594933,-1.1662958983351943,-1.344553749559939,-0.9833726741595961,-0.08222792493306866,-0.9997084536255475,-1.2927596207250542,-0.2720606096367717,-0.5733352281113325,-0.7739556279920626,-0.23315796101547476,-0.6060913742362795,-0.9850660621884234,-0.5820558164718169,-0.18289432657195492,0.30715687138883296,-0.5286398515504671
1381,1381,-0.06899290477328096,-0.08751061547129296,-0.0821830389743932,-0.05247113976582149,0.03962921933442806,-0.06264613677842942,0.016108258368781766,-0.05283709039022631,0.05651609308766833,0.008049781946439398,0.0324201141696651,-0.04801120093917956,-1.0325246557708763,-1.0704773991759224,-1.7190999257826411,-1.115639460339515,-1.375916451743314,-1.1371692466682668,-0.20569791585103733,-1.013194245042114,-1.2473816062812133,-0.3492156462200156,-0.5443905559037727,-0.7820626004636524,-0.23608122853857497,-0.6552020126328578,-0.9825406358631388,-0.6690564306836607,-0.28086687124809606,0.1822298278072398,-0.6351044248015009
1382,1382,-0.058525212051022645,-0.07670539161304227,-0.07229985820716546,-0.043716478346290465,0.04740464784700499,-0.05045590600962133,0.025146255149971243,-0.03889513507874277,0.06311527473480437,0.008072741789119297,0.04116846119370646,-0.050021882303015554,-0.9556954886197904,-0.9919488608082756,-1.631535321043367,-1.0555130199320661,-1.3145813924079446,-1.0392178651399737,-0.19682184149897877,-0.8860424974002028,-1.0658695485058498,-0.17561681390771666,-0.3996671948659754,-0.7820525569472819,-0.29674024521041753,-0.6104280147502621,-1.0860416489132503,-0.5850950811862772,-0.37900208402694946,0.057302784225647205,-0.6748128384670977
1383,1383,-0.06518647105609614,-0.0835814431592018,-0.08137144654255478,-0.05006527861236258,0.0484829550814546,-0.0556335919039183,0.01745416306511356,-0.044025347575851914,0.07196333951308735,0.008072291596125575,0.04529652011998018,-0.04726459987811005,-1.0640220265150537,-1.1026714548800545,-1.7922517171179213,-1.020709837484619,-1.4505794369857086,-1.1080768222409874,-0.4574807112146899,-0.93805912143553,-1.1566255773935312,-0.2334830913451497,-0.4286118670735349,-0.8649995079832924,-0.3582823216421418,-0.6925552501933134,-1.1784308663767353,-0.5849133660886613,-0.3927318778212177,-0.005160737565149101,-0.7607763791433322
1384,1384,-0.05884241486078806,-0.07703282263904986,-0.07902653541586369,-0.04984251369074601,0.052988107555126965,-0.048267772134539665,0.02681005090765788,-0.030147819044920508,0.07019372655743077,0.01693749202852952,0.038931911834236624,-0.049722295707582014,-1.0347669560019679,-1.0727692964625712,-1.7682692731860665,-1.0432386829625944,-1.4494040371373678,-1.0814078628320438,-0.4114661624023797,-0.8609974561980083,-1.1112475629496905,-0.05988425903285069,-0.34177785045085646,-0.9481773233337963,-0.3614213370808549,-0.7624969175376938,-1.2930755464059849,-0.676552802521559,-0.49092388291670463,-0.13008778114674172,-0.8145185224519442
1385,1385,-0.05551178535825132,-0.07359479686597009,-0.07615099684905431,-0.04850592416104662,0.05571291670260033,-0.048267772134539665,0.032009893264343996,-0.02521088688946779,0.07373295246874395,0.01805532123194507,0.04202065523708279,-0.05176083200962875,-1.0518573700047755,-1.0902377304116107,-1.80652544424617,-0.9056335896154952,-1.403426271872448,-1.143693133057291,-0.4114661624023797,-0.8205400819483092,-1.0658695485058498,0.017270777550393294,-0.34177785045085646,-0.9479063619251455,-0.3630954631046554,-0.7629905551699696,-1.388505395143846,-0.5901963980028511,-0.49106824140859084,-0.13008778114674172,-0.9027112322400551
1386,1386,-0.05186395304594917,-0.06982934006688274,-0.07091851355295167,-0.047893320626601066,0.05856651664388384,-0.04579519559134352,0.03307584472496578,-0.021157522010158733,0.07078359754264961,0.019051598327055264,0.03860617364398216,-0.0566467386989236,-1.0161964715827274,-1.053788054672532,-1.7440533785062486,-0.857874937432401,-1.4182360746862563,-1.1182652779667541,-0.4114661624023797,-0.7762296244367342,-0.9751135196181683,0.03655953669620426,-0.31283317824329665,-0.9503420822438348,-0.40602856743128396,-0.8048996331375086,-1.5421958786272134,-0.5902394108570316,-0.49242062694409805,-0.25501482472833487,-1.0291033441825526
1387,1387,-0.046947309494585414,-0.06475415916376501,-0.0659269911208733,-0.045053067875989866,0.06474847474677059,-0.04579519559134352,0.03408112335120546,-0.025217329567523004,0.07963166232093259,0.026402349528573222,0.04375087032134984,-0.06302649779100922,-0.9641032389912171,-1.0005425807731139,-1.6431691183248618,-0.7425616867473919,-1.368767545847634,-1.1673123661387421,-0.5137285088137703,-0.7165068338776547,-0.8843574907304865,0.05584829584201522,-0.31283317824329665,-0.9502858608986737,-0.3815693134977597,-0.9077634285422372,-1.562715544124544,-0.5856577963087266,-0.4924908299006345,-0.25501482472833487,-1.1467228827037688
1388,1388,-0.046788708089702716,-0.06197099544270043,-0.06294457703987963,-0.04484621473448877,0.05474824840386555,-0.04345974915468674,0.03342569582070246,-0.017272587142864566,0.08215968082901344,0.018464546663239767,0.048510592210255055,-0.05908051453223066,-0.9788266709844491,-1.0155916778420726,-1.6020033675297636,-0.846579296221506,-1.3495805550689954,-1.1521329242627079,-0.5137285088137703,-0.693388334306398,-0.8843574907304865,0.05584829584201522,-0.2838885060357372,-0.8672674332975813,-0.42038958087977696,-0.8338808291851824,-1.4180390894433594,-0.495252842246907,-0.4914588435095435,-0.13008778114674172,-1.0352166919625265
1389,1389,-0.03996884767974653,-0.0549312283835371,-0.052187239142225034,-0.032928291428002514,0.058710459295789295,-0.038428922727612475,0.03906188706561026,-0.008056796376170294,0.08723257130189568,0.026778260678332378,0.05294111058240865,-0.06096009416899696,-0.9141220355718478,-0.9494558516581073,-1.469138829485979,-0.8005614615741609,-1.2155740064056735,-1.0948295659054241,-0.46306815790277855,-0.6105470441760621,-0.7028454329551235,0.15229209157107018,-0.22599916162061826,-0.784664864381983,-0.35627558291299455,-0.8820772328146238,-1.419633045523067,-0.41741562464645954,-0.588840353127813,-0.13008778114674172,-1.0698264990715667
1390,1390,-0.039810246274863834,-0.05476751287053331,-0.05155997173882903,-0.020965815137192943,0.05562705617339358,-0.035663738514683,0.04277703632547953,-0.010385364301840573,0.08836874325637975,0.019604435323347776,0.0533252721210936,-0.06884308161203341,-0.8896649609461246,-0.9244578151789451,-1.4523761716609782,-0.7996819718124841,-1.1609273415146961,-1.0485211658191584,-0.5009559378065184,-0.5989877943904339,-0.7028454329551235,0.2101583690085032,-0.16810981720549936,-0.7877866077691668,-0.42721052376998775,-0.8787367147376969,-1.5587495335654156,-0.41732024282533675,-0.6774580930749005,-0.13008778114674172,-1.1878899132648686
1391,1391,-0.03917584065533303,-0.05411265081851812,-0.04462252689171983,-0.016956046548094766,0.05776346816483238,-0.03823159289249756,0.045253802498725716,-0.00522201803187604,0.09279277564552123,0.027836664406576422,0.057308629398133665,-0.07147289611765026,-0.889947474307169,-0.9247465774047351,-1.3444318184130184,-0.7668193889801785,-1.172375327585467,-1.0811838370806126,-0.5009559378065184,-0.5912816278666816,-0.6120894040674416,0.24873588730012525,-0.1970544894130588,-0.8710125202656811,-0.34700201409826836,-0.9664086880226033,-1.508387079352419,-0.4235196630074165,-0.7748376102887278,-0.25501482472833487,-1.2391949464597787
1392,1392,-0.04234786875298707,-0.05411265081851812,-0.050228112266687934,-0.02447436265265385,0.05621797863911069,-0.03823159289249756,0.045253802498725716,-0.00522201803187604,0.08571432382289486,0.018939050078624384,0.053588818601854944,-0.07377275241679436,-0.889947474307169,-0.9247465774047351,-1.3444318184130184,-0.8003017157063547,-1.2943461439675998,-1.0811838370806126,-0.5009559378065184,-0.5912816278666816,-0.6574674185112824,0.24873588730012525,-0.1970544894130588,-0.8707099981310515,-0.366505881446255,-0.9163380303774694,-1.4696849173482727,-0.42297002502290965,-0.7696651584153544,-0.25501482472833487,-1.2953984249862573
1393,1393,-0.04107905751392545,-0.05280292671448773,-0.047676787221228596,-0.022039860294987102,0.04848042977177204,-0.04068338550675985,0.04835306465854331,0.003170950708909444,0.08512445283767599,0.026226324068027322,0.052927499797422166,-0.077337677241668,-0.8818940006629952,-0.916514970353527,-1.3149325001744658,-0.8815199357419076,-1.3603852396522884,-1.0571697635725483,-0.5009559378065184,-0.6047674192832481,-0.6120894040674416,0.30660216473755814,-0.22599916162061826,-0.9529689397418066,-0.4099200928468889,-0.9724931979530906,-1.467923752147986,-0.42328269549161035,-0.8674867784549686,-0.379941868309928,-1.321690396615253
1394,1394,-0.038858637845567624,-0.05051090953243456,-0.0449140620814758,-0.021705712912562253,0.045712690359695295,-0.04085802484770563,0.05177795353074462,-0.005559798438485128,0.08512445283767599,0.01730935144134517,0.050938558557335596,-0.07468154838186027,-0.9770035718487208,-1.0137282538881658,-1.3501230592951894,-1.0088672953729394,-1.5007262749594146,-1.129859158278705,-0.5009559378065184,-0.5777958364501153,-0.5667113896236009,0.3644684421749912,-0.22599916162061826,-1.0351876005204041,-0.3903898886740709,-0.9748487822837117,-1.4700597483575981,-0.42138315195566023,-0.8677628143704655,-0.379941868309928,-1.3956409418726083
1395,1395,-0.04076185470416005,-0.05247549568848014,-0.0449140620814758,-0.020591888304479427,0.04250554706285453,-0.04085802484770563,0.04661921433537568,-0.007860754886775918,0.08512445283767599,0.024817219997672644,0.050938558557335596,-0.07449916452395718,-1.0304443366358387,-1.0683510658175055,-1.3501230592951894,-1.1099438193487825,-1.463111089568331,-1.129859158278705,-0.5009559378065184,-0.6009143360213721,-0.5667113896236009,0.32589092388336927,-0.22599916162061826,-1.035152861623608,-0.3272360586421246,-0.8951028652408326,-1.5700378156342507,-0.42134141605846104,-0.7740663036488923,-0.25501482472833487,-1.4482851939692336
1396,1396,-0.0372726237967406,-0.052148064662472536,-0.0449140620814758,-0.02025774092205458,0.04175553008713665,-0.03806450408661146,0.04287153999097429,-0.012560228336765025,0.08394471086723826,0.016074922252555225,0.05012237208575163,-0.07449916452395718,-0.9563823981359375,-1.061469238375787,-1.3501230592951894,-1.1227434250839956,-1.4557236138111407,-1.0746491671038714,-0.5009559378065184,-0.597061252759496,-0.6120894040674416,0.2873134055917472,-0.1970544894130588,-1.0350658840269562,-0.32612125015778687,-0.8707981184005323,-1.4690447301660376,-0.5131553671992897,-0.7745140613872878,-0.25501482472833487,-1.445933019349054
1397,1397,-0.0364796167723271,-0.051329487097453545,-0.0449140620814758,-0.017985538721565608,0.045750570004933565,-0.03806450408661146,0.0460969912802347,-0.006590626927319402,0.08925354973420804,0.018053520459970183,0.05425602522610142,-0.06823315808621107,-0.9485098299749445,-1.053422538225222,-1.3501230592951894,-1.0759888983230659,-1.4322284210601126,-1.0746491671038714,-0.5009559378065184,-0.5874285446048056,-0.6120894040674416,0.34517968302918023,-0.1970544894130588,-1.118220456520416,-0.3694556598731304,-0.9411187192926577,-1.5256687708753125,-0.5904257614457961,-0.8726325291788043,-0.379941868309928,-1.5624409817237563
1398,1398,-0.04996073618735676,-0.06197099544270044,-0.05610614774084635,-0.020090667230842154,0.04036408445205063,-0.04318890711972074,0.03538920588919792,-0.02032273501071883,0.07018105454546476,0.009073070621173013,0.04413508728623677,-0.06586409214832405,-1.0961959643908732,-1.1716734948920218,-1.4947634047329383,-1.1522326555843672,-1.4659945827849334,-1.1399238151436337,-0.5009559378065184,-0.7126537506157787,-0.7482234473989642,0.17158085071688126,-0.2549438338281777,-1.118178911868769,-0.3472345062717945,-0.99163607994006,-1.5227827975761326,-0.5270961317449652,-0.8839734183263671,-0.44240539010072427,-1.6076344719696156
1399,1399,-0.04663010668482003,-0.058532969669620676,-0.05336769404252697,-0.021650021682158113,0.03930345438537888,-0.04318890711972074,0.03538920588919792,-0.015152946062699086,0.07328841062831415,0.017426401619713296,0.04795085669322832,-0.06071251211042618,-1.0451153871642538,-1.1194630751084276,-1.4326044841516177,-1.2018060390186793,-1.4268990641562151,-1.1174345739279432,-0.4001431123748198,-0.6721963763660797,-0.7028454329551235,0.17158085071688126,-0.2549438338281777,-1.118503477597549,-0.34611304947997995,-0.990472027726235,-1.526729319275961,-0.6183765702591201,-0.8860186830168345,-0.44240539010072427,-1.6135382961655031
1400,1400,-0.04536129544575842,-0.057223245565590296,-0.050385279961533296,-0.01790757099899981,0.040982785324275815,-0.04006810952402132,0.046315518023004654,-0.011442883885475015,0.07151879767265755,0.017678059503204755,0.044545337662301975,-0.06367766406622255,-1.0389853110281333,-1.1131974088660062,-1.3914387333565195,-1.1839924483179542,-1.395879488623726,-1.1174345739279432,-0.4001431123748198,-0.6567840433185753,-0.6574674185112824,0.22944712815431417,-0.22599916162061826,-1.1971636894892668,-0.2652411827611324,-0.9780189672340215,-1.5107238015822169,-0.5969723436657834,-0.8905676148499022,-0.44240539010072427,-1.6161281372776442
1401,1401,-0.0437752813969314,-0.055586090435552314,-0.04670585423821189,-0.01790757099899981,0.04037923631014594,-0.037332147108968414,0.046315518023004654,-0.011442883885475015,0.07151879767265755,0.026292502438104687,0.044545337662301975,-0.0648652484313602,-1.0092959972575122,-1.082851402238595,-1.3316262841395825,-1.1952806395363043,-1.395879488623726,-1.068743938416383,-0.4001431123748198,-0.6375186270091949,-0.6120894040674416,0.22944712815431417,-0.1970544894130588,-1.2803603181212386,-0.34780190308538594,-0.9626519014269617,-1.5105221118880912,-0.6888211241515371,-0.8913573131407467,-0.5673324336823169,-1.5802280467718157
1402,1402,-0.04821612073364705,-0.060170124799658664,-0.05121408579912794,-0.015234391939601025,0.03741957336219526,-0.04020663149514269,0.0373448441882969,-0.015977608853766506,0.06576755556677362,0.017979238616005803,0.03789141478604325,-0.06582220437697191,-1.124013292777742,-1.2001061100109374,-1.4760705626773936,-1.265884079815604,-1.2700093882150025,-1.068743938416383,-0.4001431123748198,-0.6914617926754603,-0.5667113896236009,0.15229209157107018,-0.22599916162061826,-1.3633640839264922,-0.3477182477824135,-1.0670920623624542,-1.5008246253438222,-0.6917954782592005,-0.9855594140696695,-0.5673324336823169,-1.5440274213179517
1403,1403,-0.04821612073364705,-0.060170124799658664,-0.05121408579912794,-0.017239276234150117,0.037833724150133745,-0.04020663149514269,0.03894050150734945,-0.015267073502534308,0.06488274908894531,0.016401312173004796,0.03737368657094028,-0.06439796529285649,-1.124013292777742,-1.2001061100109374,-1.4760705626773936,-1.2697628516595234,-1.2329245542368195,-1.068743938416383,-0.4001431123748198,-0.6914617926754603,-0.5667113896236009,0.17158085071688126,-0.22599916162061826,-1.363534841085412,-0.34122733469333,-1.0896257848622732,-1.595898613787687,-0.6920100592087495,-0.9855673221573026,-0.6922594772639096,-1.629171420589635
1404,1404,-0.04377528139693139,-0.05558609043555231,-0.05121408579912794,-0.012783977801818806,0.041151981073006785,-0.04020663149514269,0.047111715709348745,-0.012575874840613403,0.06488274908894531,0.022951170038688577,0.03737368657094028,-0.06574982156220142,-1.1002618417612453,-1.1758293047090087,-1.4760705626773936,-1.234135496228458,-1.1444751662490684,-1.068743938416383,-0.4001431123748198,-0.6375186270091949,-0.5667113896236009,0.22944712815431417,-0.22599916162061826,-1.3467527633474756,-0.321373826953905,-1.0658886763600464,-1.5880180501501568,-0.6921186856826026,-0.9778773002603303,-0.6922594772639096,-1.6327524069887365
1405,1405,-0.04599570106528922,-0.057878107617605486,-0.05121408579912794,-0.024367753725880216,0.03703825160012994,-0.0456404716361765,0.048060104002427495,-0.016692746117895285,0.06222832965546042,0.024389536653635288,0.03466187537889611,-0.06446716943383325,-1.098033230022815,-1.1735513986884507,-1.4760705626773936,-1.295638221259662,-1.3677984827541456,-1.1092569960252734,-0.4808579704560819,-0.6644902098423275,-0.5667113896236009,0.22944712815431417,-0.2838885060357372,-1.346995208121883,-0.3835954126965661,-1.061558053313565,-1.5905189083283418,-0.6925891770495815,-1.0741917366592733,-0.6922594772639096,-1.6309648599260396
