,sent_no,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
2110,2110,0.0045981470922928066,-0.007617445125439393,-0.044673907405356456,0.03682861314690417,0.07951901108001612,-0.019234577741101655,-0.030099410693420998,-0.057217191085192694,-0.025674768572425292,-0.09713240872114093,-0.054833575130608284,-0.11090030109344046,0.4753453382701306,0.327594293322314,-0.42978125508887677,1.4939453365111062,0.5652331741521666,0.6580992781805154,0.12673400399631454,0.08300794296163592,-0.6574674185112824,-0.7157020699904245,-0.1391651449979399,0.14294800339432068,0.11027551299259687,-0.3384148081996529,-1.1130045552905625,1.791984579207687,0.4218158248019836,-0.44240539010072427,-1.6500862125323117
2111,2111,0.006977168165533335,-0.005161712430382417,-0.042074920804729035,0.04328879587378458,0.07716794776556044,-0.011833219197355803,-0.02798505804576841,-0.058437618385366125,-0.023352151568126013,-0.08869354105379317,-0.05127863475803562,-0.11755505114749173,0.4524327993953196,0.304174955916346,-0.4605545063327153,1.4426238674576572,0.5827742666286815,0.7144643101049903,0.12673400399631454,0.11190606742570672,-0.6120894040674416,-0.6771245516988026,-0.05233112837526114,0.06252540888154658,0.12058454862726774,-0.2780549115652217,-1.0691119863727652,1.7925583255907673,0.5156026383249109,-0.44240539010072427,-1.6155126716807946
2112,2112,0.006977168165533335,-0.005161712430382417,-0.039552395909438036,0.04262050110893489,0.07978416859668407,-0.011833219197355803,-0.026966421220136764,-0.06398844572122282,-0.02733378071835335,-0.0885809928053623,-0.055678567035031205,-0.12545848817435676,0.4940073601863186,0.3466690973115502,-0.3829754840845992,1.4137180779460035,0.6109422200972826,0.7249899112272743,0.08013325895549536,0.11190606742570672,-0.5667113896236009,-0.6578357925529916,-0.05233112837526114,0.1450680444477875,0.17463543423484962,-0.3237551055986441,-1.0555884262943855,1.7925765956870996,0.6131120280783238,-0.5673324336823169,-1.6209293815663413
2113,2113,0.009356189238773864,-0.002705979735325442,-0.0367077660444575,0.05019450844389811,0.08418578337337182,-0.006652367465684538,-0.02739592866427894,-0.06283336558418084,-0.027628716210962783,-0.08705934048657672,-0.05618608264107126,-0.12327945991982123,0.5218652845771883,0.3751432063705404,-0.3455602106792348,1.451531793663694,0.6500286770265415,0.7944873683775273,0.08013325895549536,0.14080419188977725,-0.5213333751797602,-0.6578357925529916,0.0055582160398577754,0.06496076669012699,0.15477288507376774,-0.33804006424798644,-0.9540555172694037,1.7927303934843513,0.5159718923982622,-0.6922594772639096,-1.5873959816319538
2114,2114,0.004598147092292807,-0.007617445125439391,-0.04345913790906796,0.050361582135110536,0.07862757676207535,-0.009388329880737444,-0.0413011152529857,-0.07615590341978451,-0.05063368463449852,-0.0871124632598361,-0.07425087389762164,-0.12515168047108532,0.4407525709139971,0.2922363744576318,-0.4491584116481029,1.3649714951861962,0.6480490671501032,0.7457967328659674,-0.18489530326526604,0.10227335927101636,-0.5667113896236009,-0.7735683474278575,-0.02338645616770168,-0.01763754893905776,0.19840335468641848,-0.36384852246810373,-0.9498512970968591,1.7938977353796688,0.43175038406375543,-0.6922594772639096,-1.5431617133905968
2115,2115,0.003329335853231192,-0.008927169229469779,-0.04345913790906796,0.04795572098165162,0.07838514703255038,-0.011977172827885928,-0.0413011152529857,-0.07615590341978451,-0.052403297590155114,-0.08723716671909751,-0.07507648568287638,-0.12814784471369406,0.42395775883721204,0.2750700808030924,-0.4491584116481029,1.3776492566895673,0.6426965382954815,0.7113672543154607,-0.18489530326526604,0.08686102622351206,-0.5667113896236009,-0.7735683474278575,-0.05233112837526114,0.06533899384679277,0.19249352026196218,-0.3786598151382909,-0.9067960266811501,1.8858540713430985,0.5109827768936873,-0.5673324336823169,-1.5028269149547513
2116,2116,-0.0019045105078979712,-0.014329781158595125,-0.04617460305515141,0.05273402855032696,0.07436232870824541,-0.019486316867661748,-0.0446520541118885,-0.07966992410761421,-0.05146933519689191,-0.08803851024792542,-0.07394207871547585,-0.12380291729602541,0.36167840146229513,0.2114131769671978,-0.510197259936814,1.337610387620924,0.7268690692758064,0.6285522675532106,-0.18489530326526604,0.023285152402556512,-0.6120894040674416,-0.8314346248652905,-0.1391651449979399,0.14829822801642104,0.12835574512214992,-0.4424566895708273,-1.0515339915745254,1.885896249369489,0.5081303364234041,-0.5673324336823169,-1.541268840861714
2117,2117,-0.0007943006737190576,-0.013183772567568535,-0.04166637149423537,0.06090950117365491,0.07576387558206164,-0.016611832481487475,-0.03812944354327134,-0.07896399066927859,-0.05146933519689191,-0.09020618951270427,-0.07394207871547585,-0.11521128890728172,0.28346761747400684,0.13147246201567303,-0.5999159337622195,1.3183746619834915,0.6652725706690272,0.5555163142858699,-0.23149604830608522,0.036770943819123006,-0.5667113896236009,-0.7542795882820466,-0.11022047279038044,0.2309869501906158,0.18301947220338133,-0.4458796158346722,-0.9988438623438999,1.976723815776859,0.5997857635738324,-0.5673324336823169,-1.4219638801485188
2118,2118,-0.0019045105078979712,-0.014329781158595125,-0.04393317939145837,0.059728847089087114,0.08700655428878216,-0.00720465559994885,-0.03723573467418145,-0.08126494711756939,-0.05096373149527574,-0.08822624072630814,-0.07280170825550626,-0.1017036999985329,0.28456396804346074,0.1325930625759841,-0.6043333758941625,1.4057758789314354,0.6311091408215955,0.6274371493480599,-0.26731832597253746,0.004019736093176069,-0.6574674185112824,-0.7735683474278575,0.0055582160398577754,0.2310109776585805,0.20024946348195916,-0.4268664747308125,-0.9872292677255617,1.9075807584086564,0.6188102461840338,-0.6922594772639096,-1.4254109611918913
2119,2119,-0.0015873076981325676,-0.014002350132587526,-0.04102456643795774,0.06223495245727347,0.08760252737386438,-0.004646405716070731,-0.036016566242660246,-0.0789639906692786,-0.04919411853961914,-0.09588717490050162,-0.07192071602660333,-0.100101706324255,0.25450444225198715,0.10186865527130831,-0.5965020880073818,1.4093666045725648,0.6129867117494986,0.6083118473880115,-0.26731832597253746,0.00787281935505221,-0.6120894040674416,-0.7542795882820466,0.034502888247417235,0.2310575527587232,0.1798999602053028,-0.42587554695643626,-1.1264158295091826,1.9995578112827619,0.6165937929318551,-0.6922594772639096,-1.4260738290999992
